date,brand_revenue,brand_order_count,active_product_count,pgm_observed_product_count,pgm_observed_coverage,top_product_revenue_share,dominant_role_state_in_revenue,status_summary_label,status_reason,revenue,previous_value,revenue_day_over_day_change_rate,revenue_7d,revenue_30d,revenue_90d,brand_revenue_day_over_day_change_rate
2024-05-01,812000,13,4,0,0,0.3817733990147783,PGM 미관측,매출은 유지 중이고 구조 확인이 필요한 상태입니다.,Revenue 변화가 크지 않으므로 role-state와 집중도에서 우선 점검 대상을 좁히는 편이 안전합니다.,812000,,,0,0,0,
2024-05-02,816000,13,4,0,0,0.37254901960784315,PGM 미관측,매출은 유지 중이고 구조 확인이 필요한 상태입니다.,Revenue 변화가 크지 않으므로 role-state와 집중도에서 우선 점검 대상을 좁히는 편이 안전합니다.,816000,812000,0.0049261083743842365,812000,812000,812000,0.0049261083743842365
2024-05-03,837000,14,4,0,0,0.3763440860215054,PGM 미관측,매출은 유지 중이고 구조 확인이 필요한 상태입니다.,Revenue 변화가 크지 않으므로 role-state와 집중도에서 우선 점검 대상을 좁히는 편이 안전합니다.,837000,816000,0.025735294117647058,1628000,1628000,1628000,0.025735294117647058
2024-05-04,857000,15,4,0,0,0.38039673278879815,PGM 미관측,매출은 유지 중이고 구조 확인이 필요한 상태입니다.,Revenue 변화가 크지 않으므로 role-state와 집중도에서 우선 점검 대상을 좁히는 편이 안전합니다.,857000,837000,0.023894862604540025,2465000,2465000,2465000,0.023894862604540025
2024-05-05,869000,14,4,0,0,0.38895281933256615,PGM 미관측,매출은 유지 중이고 구조 확인이 필요한 상태입니다.,Revenue 변화가 크지 않으므로 role-state와 집중도에서 우선 점검 대상을 좁히는 편이 안전합니다.,869000,857000,0.014002333722287048,3322000,3322000,3322000,0.014002333722287048
2024-05-06,888000,15,4,0,0,0.4009009009009009,PGM 미관측,매출은 유지 중이고 구조 확인이 필요한 상태입니다.,Revenue 변화가 크지 않으므로 role-state와 집중도에서 우선 점검 대상을 좁히는 편이 안전합니다.,888000,869000,0.02186421173762946,4191000,4191000,4191000,0.02186421173762946
2024-05-07,890000,14,4,0,0,0.41797752808988764,PGM 미관측,매출은 유지 중이고 구조 확인이 필요한 상태입니다.,Revenue 변화가 크지 않으므로 role-state와 집중도에서 우선 점검 대상을 좁히는 편이 안전합니다.,890000,888000,0.0022522522522522522,5079000,5079000,5079000,0.0022522522522522522
2024-05-08,902000,14,4,3,0.75,0.43458980044345896,entry,매출은 유지 중이고 구조 확인이 필요한 상태입니다.,Revenue 변화가 크지 않으므로 role-state와 집중도에서 우선 점검 대상을 좁히는 편이 안전합니다.,902000,890000,0.01348314606741573,5969000,5969000,5969000,0.01348314606741573
2024-05-09,899000,14,4,2,0.5,0.4649610678531702,entry,매출은 유지 중이고 구조 확인이 필요한 상태입니다.,Revenue 변화가 크지 않으므로 role-state와 집중도에서 우선 점검 대상을 좁히는 편이 안전합니다.,899000,902000,-0.0033259423503325942,6059000,6871000,6871000,-0.0033259423503325942
2024-05-10,914000,14,4,2,0.5,0.47702407002188185,expansion,매출은 유지 중이고 구조 확인이 필요한 상태입니다.,Revenue 변화가 크지 않으므로 role-state와 집중도에서 우선 점검 대상을 좁히는 편이 안전합니다.,914000,899000,0.01668520578420467,6142000,7770000,7770000,0.01668520578420467
