product_id,profile_role_primary,profile_role_secondary,profile_confidence
1000000042,convergence,expansion,0.45017959674962343
1000000043,convergence,return,0.35194569607693627
1000000044,return,convergence,0.37911746541682656
1000000045,return,convergence,0.3520808351471089
1000000062,convergence,expansion,0.40953303025439153
1000000063,return,expansion,0.31837016134568713
1000000064,entry,convergence,0.4061890838206628
1000000065,return,expansion,0.6634059337474444
1000000083,return,expansion,0.49572323485785236
1000000085,expansion,convergence,0.35088720690479075
1000000086,expansion,return,0.5185911746224172
1000000087,convergence,return,0.32118051979010037
1000000088,expansion,convergence,0.35446307100734803
1000000089,expansion,return,0.6221833618222075
1000000091,expansion,convergence,0.32541811088255945
1000000093,entry,convergence,0.45706868623248337
1000000094,expansion,entry,0.3955437870846537
1000000108,expansion,convergence,0.3005408113009267
1000000111,entry,expansion,0.3182170936304147
1000000121,return,expansion,0.33176107286688666
