aa_product_id,pca_product_id,transition_customer_cnt,avg_days_to_pca,aa_cohort_customer_cnt,transition_rate,entry_product_id,expansion_product_id,avg_days_to_expansion
1177,1266,254,27.47244094488189,2226,0.11410601976639713,1177,1266,27.47244094488189
1176,1266,296,27.969594594594593,3318,0.08921036769138035,1176,1266,27.969594594594593
1097,1123,193,0.9844559585492227,3033,0.06363336630398946,1097,1123,0.9844559585492227
1431,1535,286,36.56643356643357,4505,0.0634850166481687,1431,1535,36.56643356643357
1140,1203,184,29.309782608695652,3423,0.05375401694420099,1140,1203,29.309782608695652
1432,1535,296,35.726351351351354,5628,0.052594171997157074,1432,1535,35.726351351351354
1097,1203,113,57.769911504424776,3033,0.03725684141114408,1097,1203,57.769911504424776
1315,1386,93,22.193548387096776,2597,0.03581055063534848,1315,1386,22.193548387096776
1140,1168,99,9.707070707070708,3423,0.028921998247151623,1140,1168,9.707070707070708
1431,1427,123,1.089430894308943,4505,0.02730299667036626,1431,1427,1.089430894308943
1315,1406,63,32.77777777777778,2597,0.02425876010781671,1315,1406,32.77777777777778
1432,1427,127,0.968503937007874,5628,0.022565742714996447,1432,1427,0.968503937007874
1140,1266,69,64.95652173913044,3423,0.020157756354075372,1140,1266,64.95652173913044
1177,1236,43,12.093023255813954,2226,0.01931716082659479,1177,1236,12.093023255813954
1315,1370,44,28.227272727272727,2597,0.016942626107046593,1315,1370,28.227272727272727
1177,1203,37,7.783783783783784,2226,0.016621743036837375,1177,1203,7.783783783783784
1176,1203,54,5.703703703703703,3318,0.0162748643761302,1176,1203,5.703703703703703
1097,1168,48,32.854166666666664,3033,0.01582591493570722,1097,1168,32.854166666666664
1097,1122,47,0.8723404255319149,3033,0.015496208374546653,1097,1122,0.8723404255319149
1315,1360,40,8.0,2597,0.015402387370042356,1315,1360,8.0
1176,1236,43,11.511627906976743,3318,0.01295961422543701,1176,1236,11.511627906976743
1097,1119,36,0.8888888888888888,3033,0.011869436201780416,1097,1119,0.8888888888888888
1431,1468,53,5.433962264150943,4505,0.011764705882352941,1431,1468,5.433962264150943
1315,1427,29,55.0,2597,0.011166730843280709,1315,1427,55.0
1033,1123,47,36.59574468085106,4571,0.01028221395755852,1033,1123,36.59574468085106
1033,1266,46,32.26086956521739,4571,0.010063443447823233,1033,1266,32.26086956521739
1432,1468,47,4.148936170212766,5628,0.008351101634683724,1432,1468,4.148936170212766
1315,1394,19,30.210526315789473,2597,0.007316134000770119,1315,1394,30.210526315789473
1177,1301,16,56.125,2226,0.0071877807726864335,1177,1301,56.125
1315,1395,18,30.333333333333332,2597,0.006931074316519061,1315,1395,30.333333333333332
1315,1399,16,29.25,2597,0.0061609549480169425,1315,1399,29.25
1033,1168,26,35.61538461538461,4571,0.0056880332531174796,1033,1168,35.61538461538461
1033,1203,22,41.27272727272727,4571,0.004812951214176329,1033,1203,41.27272727272727
1176,1301,15,56.86666666666667,3318,0.0045207956600361665,1176,1301,56.86666666666667
1432,1386,24,23.791666666666668,5628,0.0042643923240938165,1432,1386,23.791666666666668
1097,1121,12,1.5,3033,0.003956478733926805,1097,1121,1.5
32,1266,19,47.94736842105263,5469,0.003474126897056135,32,1266,47.94736842105263
1431,1386,15,27.333333333333332,4505,0.003329633740288568,1431,1386,27.333333333333332
1177,1168,7,0.2857142857142857,2226,0.0031446540880503146,1177,1168,0.2857142857142857
1177,1300,7,60.285714285714285,2226,0.0031446540880503146,1177,1300,60.285714285714285
