date,product_id,aa_product_id,pca_product_id,entry_product_id,expansion_product_id,source_product_id,target_product_id,transition_customer_cnt,transition_rate,avg_days_to_pca,avg_days_to_expansion
2026-04-06,1000000035,1000000035,1000000033,1000000035,1000000033,1000000035,1000000033,2,2.5974025974025976E-2,32.5,32.5
2026-04-06,1000000035,1000000035,1000000035,1000000035,1000000035,1000000035,1000000035,1,1.2987012987012988E-2,19,19
2026-04-06,1000000035,1000000035,1000000042,1000000035,1000000042,1000000035,1000000042,2,2.5974025974025976E-2,37,37
2026-04-06,1000000035,1000000035,1000000043,1000000035,1000000043,1000000035,1000000043,1,1.2987012987012988E-2,0,0
2026-04-06,1000000035,1000000035,1000000063,1000000035,1000000063,1000000035,1000000063,1,1.2987012987012988E-2,8,8
2026-04-06,1000000035,1000000035,1000000064,1000000035,1000000064,1000000035,1000000064,1,1.2987012987012988E-2,28,28
2026-04-06,1000000035,1000000035,1000000083,1000000035,1000000083,1000000035,1000000083,1,1.2987012987012988E-2,24,24
2026-04-06,1000000035,1000000035,1000000084,1000000035,1000000084,1000000035,1000000084,1,1.2987012987012988E-2,18,18
2026-04-06,1000000035,1000000035,1000000087,1000000035,1000000087,1000000035,1000000087,1,1.2987012987012988E-2,20,20
2026-04-06,1000000035,1000000035,1000000089,1000000035,1000000089,1000000035,1000000089,1,1.2987012987012988E-2,9,9
2026-04-06,1000000035,1000000035,1000000094,1000000035,1000000094,1000000035,1000000094,1,1.2987012987012988E-2,0,0
2026-04-06,1000000035,1000000035,1000000121,1000000035,1000000121,1000000035,1000000121,2,2.5974025974025976E-2,36.5,36.5
2026-04-06,1000000035,1000000035,1000000156,1000000035,1000000156,1000000035,1000000156,1,1.2987012987012988E-2,56,56
2026-04-06,1000000042,1000000042,1000000027,1000000042,1000000027,1000000042,1000000027,2,1.0638297872340425E-2,19.5,19.5
2026-04-06,1000000042,1000000042,1000000033,1000000042,1000000033,1000000042,1000000033,1,5.319148936170213E-3,0,0
2026-04-06,1000000042,1000000042,1000000035,1000000042,1000000035,1000000042,1000000035,1,5.319148936170213E-3,78,78
2026-04-06,1000000042,1000000042,1000000042,1000000042,1000000042,1000000042,1000000042,22,1.1702127659574468E-1,32.27272727272727,32.27272727272727
2026-04-06,1000000042,1000000042,1000000043,1000000042,1000000043,1000000042,1000000043,4,2.127659574468085E-2,10.75,10.75
2026-04-06,1000000042,1000000042,1000000044,1000000042,1000000044,1000000042,1000000044,1,5.319148936170213E-3,13,13
2026-04-06,1000000042,1000000042,1000000045,1000000042,1000000045,1000000042,1000000045,4,2.127659574468085E-2,31.5,31.5
2026-04-06,1000000042,1000000042,1000000063,1000000042,1000000063,1000000042,1000000063,1,5.319148936170213E-3,1,1
2026-04-06,1000000042,1000000042,1000000064,1000000042,1000000064,1000000042,1000000064,4,2.127659574468085E-2,22,22
2026-04-06,1000000042,1000000042,1000000065,1000000042,1000000065,1000000042,1000000065,1,5.319148936170213E-3,0,0
2026-04-06,1000000042,1000000042,1000000084,1000000042,1000000084,1000000042,1000000084,1,5.319148936170213E-3,8,8
2026-04-06,1000000042,1000000042,1000000087,1000000042,1000000087,1000000042,1000000087,1,5.319148936170213E-3,1,1
2026-04-06,1000000042,1000000042,1000000088,1000000042,1000000088,1000000042,1000000088,1,5.319148936170213E-3,0,0
2026-04-06,1000000042,1000000042,1000000112,1000000042,1000000112,1000000042,1000000112,1,5.319148936170213E-3,9,9
2026-04-06,1000000042,1000000042,1000000121,1000000042,1000000121,1000000042,1000000121,3,1.5957446808510637E-2,16,16
2026-04-06,1000000043,1000000043,1000000033,1000000043,1000000033,1000000043,1000000033,1,5.154639175257732E-3,33,33
2026-04-06,1000000043,1000000043,1000000042,1000000043,1000000042,1000000043,1000000042,10,5.154639175257732E-2,25.6,25.6
2026-04-06,1000000043,1000000043,1000000043,1000000043,1000000043,1000000043,1000000043,12,6.1855670103092786E-2,19.666666666666668,19.666666666666668
2026-04-06,1000000043,1000000043,1000000044,1000000043,1000000044,1000000043,1000000044,5,2.577319587628866E-2,9.8,9.8
2026-04-06,1000000043,1000000043,1000000045,1000000043,1000000045,1000000043,1000000045,3,1.5463917525773196E-2,2.3333333333333335,2.3333333333333335
