date,product_id,order_count,quantity,revenue
2026-04-17,1000000064,6,13,600500
2026-04-17,1000000094,2,50,390000
2026-04-17,1000000088,2,2,270000
2026-04-17,1000000093,2,49,264600
2026-04-17,1000000044,2,3,199000
2026-04-17,1000000063,2,3,181500
2026-04-17,1000000113,1,13,167700
2026-04-17,1000000087,2,2,133000
2026-04-17,1000000112,1,10,129000
2026-04-17,1000000085,2,2,117500
2026-04-17,1000000045,1,1,99000
2026-04-17,1000000086,1,1,87000
2026-04-17,1000000033,1,1,49000
2026-04-17,1000000062,1,1,26500
2026-04-17,1000000042,0,0,0
2026-04-17,1000000043,0,0,0
2026-04-17,1000000074,0,0,0
2026-04-17,1000000083,0,0,0
2026-04-17,1000000090,0,0,0
2026-04-17,1000000092,0,0,0
